dotnet watch 🔨 2025-03-29 14:58:32.373 [StartupProfiler] Assembly loaded: System.CommandLine | Elapsed: 21ms | Delta: 6ms
dotnet watch 🔨 2025-03-29 14:58:32.373 [StartupProfiler] Assembly loaded: Microsoft.DotNet.Configurer | Elapsed: 22ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.373 [StartupProfiler] Assembly loaded: Microsoft.DotNet.InternalAbstractions | Elapsed: 22ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.373 [StartupProfiler] Assembly loaded: netstandard | Elapsed: 22ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.375 [StartupProfiler] Assembly loaded: Microsoft.TemplateEngine.Cli | Elapsed: 24ms | Delta: 2ms
dotnet watch 🔨 2025-03-29 14:58:32.377 [StartupProfiler] Assembly loaded: Microsoft.TemplateEngine.Edge | Elapsed: 26ms | Delta: 2ms
dotnet watch 🔨 2025-03-29 14:58:32.377 [StartupProfiler] Assembly loaded: Microsoft.TemplateEngine.Abstractions | Elapsed: 26ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.377 [StartupProfiler] Assembly loaded: Microsoft.Extensions.Logging.Abstractions | Elapsed: 26ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.378 [StartupProfiler] Assembly loaded: Microsoft.TemplateSearch.Common | Elapsed: 27ms | Delta: 1ms
dotnet watch 🔨 2025-03-29 14:58:32.378 [StartupProfiler] Assembly loaded: System.Linq | Elapsed: 27ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.380 [StartupProfiler] Assembly loaded: NuGet.CommandLine.XPlat | Elapsed: 29ms | Delta: 2ms
dotnet watch 🔨 2025-03-29 14:58:32.380 [StartupProfiler] Assembly loaded: NuGet.Common | Elapsed: 29ms | Delta: 0ms
dotnet watch 🔨 2025-03-29 14:58:32.389 [StartupProfiler] Assembly loaded: System.Security.Cryptography | Elapsed: 37ms | Delta: 8ms
